Datum,MaschinenID,Produktionsmenge,Fehlerquote,Effizienz,Verbrauchte_Rohstoffe
2023-01-01,M03,832,11.2,80.5,716.9
2023-01-02,M03,824,0.5,96.3,673.5
2023-01-03,M03,773,12.0,90.7,674.4
2023-01-09,M03,911,1.9,89.6,1048.6
2023-01-13,M03,855,3.7,96.8,735.3
2023-01-14,M03,856,6.3,89.9,914.3
2023-01-18,M03,1128,1.3,85.0,1043.7
2023-01-18,M03,1067,3.8,87.1,1271.4
2023-02-05,M03,1002,9.0,85.5,812.2
2023-02-06,M03,1025,6.8,85.8,989.3
2023-02-07,M03,1170,5.5,91.4,1232.6
2023-02-09,M03,779,9.0,85.0,825.5
2023-02-13,M03,804,2.5,97.8,815.2
2023-02-17,M03,1082,11.2,87.2,1284.0
2023-02-19,M03,901,12.1,85.2,922.5
2023-02-20,M03,810,11.6,95.5,829.0
2023-02-27,M03,904,12.3,88.1,1069.1
2023-02-28,M03,707,6.8,90.0,696.5
2023-03-04,M03,850,3.9,82.8,824.0
2023-03-05,M03,747,1.4,80.6,855.1
2023-03-10,M03,810,4.2,97.5,834.8
2023-03-11,M03,1041,1.9,91.4,1211.3
2023-03-17,M03,1127,8.1,89.6,1292.7
2023-03-17,M03,1001,5.8,94.6,840.4
2023-03-19,M03,811,0.4,92.5,915.2
2023-03-21,M03,703,3.7,82.0,677.5
2023-03-22,M03,869,4.0,84.7,707.4
2023-03-24,M03,1131,11.4,85.5,1271.4
2023-03-24,M03,923,12.0,84.6,877.9
2023-03-31,M03,991,6.8,96.2,1068.1
2023-03-31,M03,974,1.8,87.3,816.9
2023-04-11,M03,845,3.3,80.9,855.7
2023-04-12,M03,1114,5.3,99.9,898.8
2023-04-13,M03,1169,6.6,84.7,1306.4
2023-04-21,M03,1055,11.9,97.6,846.3
2023-04-24,M03,811,9.8,82.8,882.1
2023-04-26,M03,899,8.7,80.0,752.0
2023-04-27,M03,861,10.6,99.5,776.2
2023-05-01,M03,895,9.1,85.8,851.1
2023-05-07,M03,1085,4.4,87.2,937.9
2023-05-12,M03,1103,5.0,88.5,1140.3
2023-05-12,M03,1142,7.9,94.4,1040.3
2023-05-15,M03,1051,0.4,99.8,989.0
2023-05-16,M03,831,7.0,90.5,884.9
2023-05-19,M03,1074,6.2,82.5,866.5
2023-05-19,M03,804,4.5,95.0,900.7
2023-06-15,M03,1128,6.4,81.1,1243.9
2023-06-21,M03,1020,8.7,89.3,1044.1
2023-06-21,M03,946,11.3,83.8,1049.6
2023-06-24,M03,702,7.9,91.7,767.5
2023-06-25,M03,881,3.0,88.5,973.9
2023-06-27,M03,771,12.4,81.4,802.0
2023-06-29,M03,791,12.3,83.7,782.0
2023-06-30,M03,1076,0.8,85.7,887.2
2023-07-03,M03,934,7.4,99.2,844.4
2023-07-08,M03,1061,8.5,83.3,1054.6
2023-07-09,M03,741,6.1,84.3,676.8
2023-07-09,M03,1069,3.7,86.0,865.7
2023-07-13,M03,884,6.5,83.9,884.2
2023-07-17,M03,1108,3.3,86.8,1013.2
2023-07-18,M03,754,4.7,98.7,830.6
2023-07-27,M03,1057,10.1,82.4,1061.7
2023-07-30,M03,837,4.3,88.7,912.1
2023-07-31,M03,806,1.8,92.2,952.7
2023-08-01,M03,999,10.3,94.8,875.8
2023-08-02,M03,857,5.4,90.6,792.6
2023-08-10,M03,967,3.3,94.7,888.2
2023-08-14,M03,1065,11.4,89.4,1108.3
2023-08-16,M03,1057,9.4,84.5,1006.9
2023-08-19,M03,1047,5.7,82.3,1240.6
2023-08-21,M03,1178,10.5,95.5,1258.0
2023-08-28,M03,1016,11.4,84.1,917.6
2023-09-03,M03,774,8.8,89.0,643.6
2023-09-11,M03,705,7.4,87.6,773.2
2023-09-12,M03,897,7.4,90.0,1058.6
2023-09-17,M03,875,3.5,85.3,938.5
2023-09-17,M03,891,7.4,87.4,933.7
2023-09-20,M03,1123,9.7,91.5,1178.6
2023-09-22,M03,1116,7.3,82.0,1098.4
2023-10-08,M03,1119,5.9,97.9,1189.2
2023-10-09,M03,1176,6.9,95.5,1217.9
2023-10-17,M03,1078,6.3,99.8,1017.1
2023-10-24,M03,807,8.6,97.7,920.4
2023-10-28,M03,819,5.8,98.9,744.1
2023-10-31,M03,874,11.4,86.5,848.3
2023-11-02,M03,883,10.3,90.3,848.7
2023-11-09,M03,1095,10.1,96.6,979.2
2023-11-10,M03,984,4.3,86.7,1154.8
2023-11-11,M03,1124,12.1,96.9,1301.2
2023-11-15,M03,1065,11.3,98.9,1234.2
2023-11-17,M03,1116,6.6,87.6,1317.8
2023-11-17,M03,845,1.2,92.5,906.9
2023-11-19,M03,951,5.5,83.8,1028.0
2023-11-27,M03,862,2.8,98.5,991.7
2023-12-05,M03,1111,8.1,87.2,1134.8
2023-12-08,M03,1135,8.5,80.6,1252.2
2023-12-08,M03,735,0.9,85.3,699.7
2023-12-15,M03,769,7.2,95.5,681.8
2023-12-23,M03,746,11.5,81.7,605.6
2023-12-25,M03,1075,4.8,84.5,1181.9
