Datum,MaschinenID,Wartungsgrund,Wartungsdauer
2023-01-09,M02,Austausch von Verschleißteilen,7
2023-01-12,M02,Notfallreparatur,15
2023-01-17,M02,Routine-Check,2
2023-01-19,M02,Austausch von Verschleißteilen,5
2023-01-25,M02,Notfallreparatur,5
2023-02-01,M02,Notfallreparatur,9
2023-02-08,M02,Austausch von Verschleißteilen,11
2023-02-10,M02,Notfallreparatur,4
2023-02-13,M02,Austausch von Verschleißteilen,7
2023-02-14,M02,Notfallreparatur,15
2023-02-16,M02,Notfallreparatur,4
2023-02-21,M02,Austausch von Verschleißteilen,14
2023-02-22,M02,Routine-Check,4
2023-03-01,M02,Austausch von Verschleißteilen,3
2023-03-02,M02,Austausch von Verschleißteilen,15
2023-03-03,M02,Austausch von Verschleißteilen,9
2023-03-08,M02,Notfallreparatur,2
2023-03-21,M02,Notfallreparatur,2
2023-03-26,M02,Austausch von Verschleißteilen,14
2023-03-28,M02,Notfallreparatur,8
2023-04-01,M02,Routine-Check,15
2023-04-04,M02,Austausch von Verschleißteilen,14
2023-04-07,M02,Routine-Check,4
2023-04-08,M02,Routine-Check,15
2023-04-13,M02,Routine-Check,12
2023-04-15,M02,Notfallreparatur,13
2023-04-17,M02,Austausch von Verschleißteilen,12
2023-04-18,M02,Notfallreparatur,5
2023-04-23,M02,Austausch von Verschleißteilen,4
2023-04-28,M02,Austausch von Verschleißteilen,11
2023-05-01,M02,Routine-Check,5
2023-05-05,M02,Austausch von Verschleißteilen,9
2023-05-08,M02,Austausch von Verschleißteilen,11
2023-05-16,M02,Austausch von Verschleißteilen,1
2023-05-17,M02,Notfallreparatur,7
2023-05-27,M02,Routine-Check,6
2023-06-02,M02,Routine-Check,5
2023-06-03,M02,Austausch von Verschleißteilen,12
2023-06-05,M02,Notfallreparatur,4
2023-06-05,M02,Austausch von Verschleißteilen,8
2023-06-06,M02,Routine-Check,2
2023-06-13,M02,Austausch von Verschleißteilen,9
2023-06-17,M02,Austausch von Verschleißteilen,14
2023-06-18,M02,Routine-Check,12
2023-06-18,M02,Routine-Check,8
2023-07-16,M02,Routine-Check,12
2023-07-18,M02,Routine-Check,2
2023-07-21,M02,Notfallreparatur,13
2023-07-21,M02,Notfallreparatur,12
2023-07-23,M02,Notfallreparatur,11
2023-07-23,M02,Notfallreparatur,7
2023-07-24,M02,Notfallreparatur,4
2023-07-29,M02,Routine-Check,7
2023-07-29,M02,Notfallreparatur,8
2023-07-29,M02,Routine-Check,14
2023-07-30,M02,Routine-Check,8
2023-08-05,M02,Notfallreparatur,6
2023-08-07,M02,Routine-Check,5
2023-08-09,M02,Notfallreparatur,6
2023-08-09,M02,Austausch von Verschleißteilen,15
2023-08-10,M02,Austausch von Verschleißteilen,14
2023-08-14,M02,Austausch von Verschleißteilen,15
2023-08-15,M02,Routine-Check,7
2023-08-15,M02,Routine-Check,13
2023-08-28,M02,Notfallreparatur,15
2023-08-29,M02,Austausch von Verschleißteilen,12
2023-08-29,M02,Austausch von Verschleißteilen,1
2023-09-03,M02,Notfallreparatur,12
2023-09-04,M02,Notfallreparatur,5
2023-09-06,M02,Routine-Check,1
2023-09-10,M02,Routine-Check,4
2023-09-11,M02,Routine-Check,10
2023-09-16,M02,Austausch von Verschleißteilen,2
2023-09-18,M02,Austausch von Verschleißteilen,4
2023-09-18,M02,Routine-Check,2
2023-09-22,M02,Notfallreparatur,3
2023-09-23,M02,Routine-Check,4
2023-09-24,M02,Routine-Check,6
2023-09-27,M02,Notfallreparatur,3
2023-10-01,M02,Austausch von Verschleißteilen,12
2023-10-03,M02,Notfallreparatur,8
2023-10-04,M02,Routine-Check,1
2023-10-10,M02,Notfallreparatur,15
2023-10-16,M02,Routine-Check,3
2023-10-19,M02,Notfallreparatur,12
2023-10-21,M02,Austausch von Verschleißteilen,10
2023-10-23,M02,Austausch von Verschleißteilen,15
2023-10-24,M02,Austausch von Verschleißteilen,1
2023-11-02,M02,Notfallreparatur,9
2023-11-02,M02,Routine-Check,3
2023-11-06,M02,Routine-Check,13
2023-11-08,M02,Routine-Check,2
2023-11-11,M02,Notfallreparatur,1
2023-11-19,M02,Austausch von Verschleißteilen,8
2023-11-27,M02,Routine-Check,3
2023-11-28,M02,Routine-Check,7
2023-12-06,M02,Notfallreparatur,15
2023-12-14,M02,Austausch von Verschleißteilen,2
2023-12-21,M02,Austausch von Verschleißteilen,15
2023-12-30,M02,Austausch von Verschleißteilen,15
